,index,Repo,commit_message,time,churn,insertions,deletions,files_changed
0,19328,csc216-001-P3-001,b'updated bbtp',1480725905,1,0,0,1,E
1,19329,csc216-001-P3-001,b'updated black box test plan',1480725589,1,0,0,1,E
2,19330,csc216-001-P3-001,b'updated black box test plan',1480725347,1,0,0,1,E
3,19331,csc216-001-P3-001,b'generated javadoc',1480724712,88,108,4285,88,N
4,19332,csc216-001-P3-001,b'udated black box testplan',1480724554,1,0,0,1,E
5,19333,csc216-001-P3-001,b'updated black box test plan',1480724146,1,0,0,1,E
6,19334,csc216-001-P3-001,b'finished black box test plan',1480723285,4,0,25,4,N
7,19335,csc216-001-P3-001,b'Testfiles added',1480721516,4,0,2,4,T
8,19336,csc216-001-P3-001,b'Category combobox no longer editable',1480720360,1,5,5,1,E
9,19337,csc216-001-P3-001,b'generated javadoc and removed debugging print statements',1480720005,80,143,90,80,N
10,19338,csc216-001-P3-001,b'generated javadoc',1480719275,79,151,14530,79,N
11,19339,csc216-001-P3-001,b'fixed problem with updating tasks',1480719189,4,3,7,4,B
12,19340,csc216-001-P3-001,b'fixed yellowball',1480715785,1,2,2,1,B
13,19341,csc216-001-P3-001,b'Working on geting Taks to properly update',1480714621,2,2,12,2,E
14,19342,csc216-001-P3-001,b'Fixed yellow ball',1480713437,4,2,7,4,B
15,19343,csc216-001-P3-001,b'Fixed nullpointerexception',1480711718,1,3,5,1,B
16,19344,csc216-001-P3-001,"bFixed so complete couldn't be checked in add mode""""""""Fixed so complete couldn't be checked in add mode""""Fixed so complete couldn't be checked in add mode""",1480711310,1,3,10,1,B
17,19345,csc216-001-P3-001,"bMerge branch 'master' of https://github.ncsu.edu/engr-csc216-fall2016/csc216-001-P3-001.git""""""""Merge branch 'master' of https://github.ncsu.edu/engr-csc216-fall2016/csc216-001-P3-001.git""""Merge branch 'master' of https://github.ncsu.edu/engr-csc216-fall2016/csc216-001-P3-001.git""",1480710969,1,1,1,1,N
18,19346,csc216-001-P3-001,b'changed the order in which categories were removed and the observers\nwere updated',1480708912,1,1,1,1,E
19,19347,csc216-001-P3-001,b'Working on properly updating tasklistpane',1480710957,5,2,67,5,T
20,19348,csc216-001-P3-001,b'Fixed bug where category was adding to combobox repeatedly',1480707317,1,3,5,1,B
21,19349,csc216-001-P3-001,b'Fixed small bug in fillFields',1480707122,1,0,3,1,B
22,19350,csc216-001-P3-001,b'Working on TaskEditPane',1480706835,2,7,25,2,E
23,19351,csc216-001-P3-001,b'fixed checkstyle warning',1480704718,1,2,2,1,B
24,19352,csc216-001-P3-001,b'TaskListPane now shows tasks',1480704644,2,11,33,2,E
25,19353,csc216-001-P3-001,b'fixed problems with editable fields in GUI',1480703161,1,0,1,1,B
26,19354,csc216-001-P3-001,b'cleaned up code',1480702053,1,19,1,1,T
27,19355,csc216-001-P3-001,b'removed unused packages',1480701798,1,2,2,1,T
28,19356,csc216-001-P3-001,b'fixed update method and add field listner method.  categories drop down\nnow populates',1480701735,1,20,22,1,B
29,19357,csc216-001-P3-001,b'more GUI testing...',1480701089,1,3,11,1,T
30,19358,csc216-001-P3-001,b'atempt to update category field.  still not working',1480647044,2,0,21,2,E
31,19359,csc216-001-P3-001,b'fixed UI visual formatting',1480633003,1,1,1,1,B
32,19360,csc216-001-P3-001,b'added setChanged() to update method',1480632324,1,0,2,1,E
33,19361,csc216-001-P3-001,b'hopefully fixed the update method in ToDoList removed object checks',1480631945,0,0,0,0,E
34,19362,csc216-001-P3-001,b'hopefully fixed the update method in ToDoList removed object checks',1480631945,1,13,1,1,E
35,19363,csc216-001-P3-001,b'debugging update method for toDoList implementation',1480629128,1,12,12,1,B
36,19364,csc216-001-P3-001,b'reverting last change',1480626682,1,1,1,1,N
37,19365,csc216-001-P3-001,b'checking something',1480626590,1,1,1,1,U
38,19366,csc216-001-P3-001,b'Working on Todolist update method',1480626440,1,1,1,1,E
39,19367,csc216-001-P3-001,b'Working on finishing todolist',1480626288,1,15,14,1,E
40,19368,csc216-001-P3-001,b'Are we green balling?',1480626089,3,22,18,3,U
41,19369,csc216-001-P3-001,b'Debugging CategoryList',1480625471,1,1,6,1,B
42,19370,csc216-001-P3-001,b'Working on categorylist',1480625057,1,6,6,1,E
43,19371,csc216-001-P3-001,b'Fixed CategoryListTest cases',1480624716,2,19,2,2,B
44,19372,csc216-001-P3-001,b'Starting implementation of Observer/Observable functionality\n\nfor Category and CategoryList',1480624604,3,10,22,3,E
45,19373,csc216-001-P3-001,b'THis push should finish up tasklist',1480624216,1,1,1,1,U
46,19374,csc216-001-P3-001,b'Still debugging tasklist :/',1480624084,1,1,1,1,B
47,19375,csc216-001-P3-001,b'Still debugging taskList',1480624018,2,5,5,2,B
48,19376,csc216-001-P3-001,b'fixed test cases that failed due to fixed taskID naming',1480623795,1,4,4,1,B
49,19377,csc216-001-P3-001,b'More TaskList changes',1480623328,1,1,1,1,U
50,19378,csc216-001-P3-001,b'Still debugging TaskList',1480623237,1,2,3,1,B
51,19379,csc216-001-P3-001,b'Still working on Observer/Observable functionality in TaskList',1480623076,1,2,6,1,E
52,19380,csc216-001-P3-001,b'Working on tasklist observer functionality',1480622734,1,2,10,1,E
53,19381,csc216-001-P3-001,b'Still figuring out Observable behavior',1480622433,1,8,8,1,U
54,19382,csc216-001-P3-001,b'I believe task now properly acts like an observable',1480622270,1,8,8,1,U
55,19383,csc216-001-P3-001,b'Working on implementing Observer pattern',1480622056,3,19,37,3,E
56,19384,csc216-001-P3-001,"bMerge branch 'master' of https://github.ncsu.edu/engr-csc216-fall2016/csc216-001-P3-001.git""""""""Merge branch 'master' of https://github.ncsu.edu/engr-csc216-fall2016/csc216-001-P3-001.git""""Merge branch 'master' of https://github.ncsu.edu/engr-csc216-fall2016/csc216-001-P3-001.git""",1480552081,1,0,3,1,N
57,19385,csc216-001-P3-001,b'Improved Todolist coverage',1480551757,1,0,3,1,T
58,19386,csc216-001-P3-001,b'testing adding observer when adding a task',1480552073,1,1,2,1,T
59,19387,csc216-001-P3-001,"bMerge branch 'master' of https://github.ncsu.edu/engr-csc216-fall2016/csc216-001-P3-001.git""""""""Merge branch 'master' of https://github.ncsu.edu/engr-csc216-fall2016/csc216-001-P3-001.git""""Merge branch 'master' of https://github.ncsu.edu/engr-csc216-fall2016/csc216-001-P3-001.git""",1480551656,1,10,18,1,N
60,19388,csc216-001-P3-001,b'ToDoList now flagged as changed \n\nwhen tasks and categories are added/removed',1480551530,1,10,18,1,E
61,19389,csc216-001-P3-001,"bMerge branch 'master' of https://github.ncsu.edu/engr-csc216-fall2016/csc216-001-P3-001.git""""""""Merge branch 'master' of https://github.ncsu.edu/engr-csc216-fall2016/csc216-001-P3-001.git""""Merge branch 'master' of https://github.ncsu.edu/engr-csc216-fall2016/csc216-001-P3-001.git""",1480551405,1,10,10,1,N
62,19390,csc216-001-P3-001,b'Debugging ToDoList update()',1480551168,1,10,10,1,B
63,19391,csc216-001-P3-001,b'testing the observer patern in taskList',1480551394,1,0,2,1,T
64,19392,csc216-001-P3-001,b'reverted last changes\n',1480550501,1,8,2,1,N
65,19393,csc216-001-P3-001,b'debugging',1480550060,1,1,7,1,B
66,19394,csc216-001-P3-001,b'Debugging',1480549891,1,8,8,1,B
67,19395,csc216-001-P3-001,b'Debugging',1480549758,1,8,8,1,B
68,19396,csc216-001-P3-001,b'Debugging',1480549557,1,1,1,1,B
69,19397,csc216-001-P3-001,b'Fix for todolist failure ',1480548827,2,7,11,2,B
70,19398,csc216-001-P3-001,b'Debugging',1480547619,2,4,6,2,B
71,19399,csc216-001-P3-001,b'Debugging',1480547408,1,0,3,1,B
72,19400,csc216-001-P3-001,b'still debugging nullpointer',1480547211,1,1,1,1,B
73,19401,csc216-001-P3-001,b'reverted last change',1480546990,1,2,1,1,N
74,19402,csc216-001-P3-001,b'added test check trying to debug a teacher test case where a null\npoiter is being thrown when removing from an index',1480546884,2,1,3,2,T
75,19403,csc216-001-P3-001,b're added commented out check for an null current node when reoving from\nan index\n',1480546374,1,3,3,1,E
76,19404,csc216-001-P3-001,b'updated index check while removing a task list ',1480546058,1,3,4,1,E
77,19405,csc216-001-P3-001,b'fixed small errors in category.java (throwwing exceptions when setting\nfields)',1480545738,1,2,3,1,B
78,19406,csc216-001-P3-001,b'fixed teacher test cases for Task.java (most of these were just throwing\nexceptions when setting fields to null)',1480545608,1,1,6,1,B
79,19407,csc216-001-P3-001,b'changed illegal argument exception to IndexoutOfBoundsException',1480545314,1,1,1,1,E
80,19408,csc216-001-P3-001,b'updated exception check in remove method for linkedList',1480545163,1,1,1,1,E
81,19409,csc216-001-P3-001,"bMerge branch 'master' of https://github.ncsu.edu/engr-csc216-fall2016/csc216-001-P3-001.git""""""""Merge branch 'master' of https://github.ncsu.edu/engr-csc216-fall2016/csc216-001-P3-001.git""""Merge branch 'master' of https://github.ncsu.edu/engr-csc216-fall2016/csc216-001-P3-001.git""",1480544964,1,1,1,1,N
82,19410,csc216-001-P3-001,b'edited ArrayList contains method',1480544672,1,1,1,1,E
83,19411,csc216-001-P3-001,b'fixed teacher test case errors in LnkedList',1480544953,1,4,8,1,B
84,19412,csc216-001-P3-001,b'fixed the returned removed object when removing from an array list from\nthe new index to the previous element at that index',1480544556,1,2,2,1,B
85,19413,csc216-001-P3-001,b'tested the grows method to increase coverage in arrayList',1480544323,1,5,25,1,T
86,19414,csc216-001-P3-001,b'added check for null object when running containsin arrayList',1480544024,1,0,2,1,T
87,19415,csc216-001-P3-001,"bMerge branch 'master' of https://github.ncsu.edu/engr-csc216-fall2016/csc216-001-P3-001.git""""""""Merge branch 'master' of https://github.ncsu.edu/engr-csc216-fall2016/csc216-001-P3-001.git""""Merge branch 'master' of https://github.ncsu.edu/engr-csc216-fall2016/csc216-001-P3-001.git""",1480543769,1,0,2,1,N
88,19416,csc216-001-P3-001,b'added check for setting a due date with a null date',1480543403,1,0,2,1,T
89,19417,csc216-001-P3-001,b'Regained 80% coverage for ArrayList',1480543733,2,1,7,2,T
90,19418,csc216-001-P3-001,b'Fixed growArray method for ArrayList',1480543391,1,0,4,1,B
91,19419,csc216-001-P3-001,b'Modified ArrayList constructor',1480543191,1,1,1,1,E
92,19420,csc216-001-P3-001,b'added check when adding a object to the array list for when the size ==\nthe length',1480543068,1,1,3,1,T
93,19421,csc216-001-P3-001,b'reverted last change',1480542812,1,2,3,1,N
94,19422,csc216-001-P3-001,b'fixed list bounds from size to size -1',1480542578,1,1,1,1,B
95,19423,csc216-001-P3-001,b'PMD fixed',1480542566,2,10,2,2,B
96,19424,csc216-001-P3-001,b'Checkstyle and PMD warnings fixed',1480542272,6,33,22,6,B
97,19425,csc216-001-P3-001,b'added check in constructor for when creating an arary list with a size\nof 0',1480542003,1,0,2,1,T
98,19426,csc216-001-P3-001,b'added array list check for when a piece of the array is (while running\ncontains method)\n',1480541854,1,1,1,1,T
99,19427,csc216-001-P3-001,b'Checkstyle fixes',1480541790,6,55,0,6,B
100,19428,csc216-001-P3-001,b'updated the boundry check for growing the array list',1480541598,1,2,2,1,T
101,19429,csc216-001-P3-001,b'fixed teacher test case for setting a null title',1480541127,1,0,2,1,T
102,19430,csc216-001-P3-001,b'increased coverage past 80% for linkedList',1480540929,1,1,5,1,T
103,19431,csc216-001-P3-001,b'80% line coverage for all classes',1480540734,2,11,0,2,T
104,19432,csc216-001-P3-001,b'Tests now passing except for update methods',1480540587,8,50,16,8,N
105,19433,csc216-001-P3-001,b'Tested LinkedList fixed errors',1480537979,3,18,34,3,B
106,19434,csc216-001-P3-001,b'finished implementing LinkedList',1480536217,1,27,43,1,N
107,19435,csc216-001-P3-001,b'small change to TaskList test',1480534938,1,0,11,1,E
108,19436,csc216-001-P3-001,b'Added initial LinkedList test cases',1480534652,3,16,68,3,T
