Repo,commit_message,time,churn,insertions,deletions,files_changed
csc216-002-P1-001,b'Fixed Actual for BB Test Plan\n',1476500885,2,0,0,2
csc216-002-P1-001,b'Update Black Box Plan\n',1476500397,3,0,0,3
csc216-002-P1-001,b'Added Javadoc\n',1476499668,70,0,13082,70
csc216-002-P1-001,b'Updated to better method for reading animal names\n',1476499361,1,4,3,1
csc216-002-P1-001,b'Fixed inifinte file reading loop\n',1476498868,3,22,20,3
csc216-002-P1-001,b'added check for only reading in 20 lines\n',1476498283,1,1,3,1
csc216-002-P1-001,b'Corrected indexoutofbounds\n',1476497985,1,4,3,1
csc216-002-P1-001,b'Now checks the file for proper number of lines\n',1476497588,1,3,3,1
csc216-002-P1-001,b'Added check for incorrect symbol\n',1476497339,2,12,21,2
csc216-002-P1-001,b'Fixed checks for animal names\n',1476496087,1,28,40,1
csc216-002-P1-001,b'Fixed incrementing meal insted of breed in predator\n',1476495412,1,1,1,1
csc216-002-P1-001,b'Fixed logic error for eating/dying\n',1476495145,4,3,9,4
csc216-002-P1-001,b'Updated Animal to fix act\n',1476494413,1,2,2,1
csc216-002-P1-001,b'prevented animals from acting on creation\n',1476494079,1,1,1,1
csc216-002-P1-001,b'Fixed coverage statements targeting PaintedLocation\n',1476493911,1,2,4,1
csc216-002-P1-001,b'Completed BB Plan and added missing coverage\n',1476493323,4,10,33,4
csc216-002-P1-001,b'Added missing asserts and fixed test cases\n',1476492212,2,5,17,2
csc216-002-P1-001,b'Added 80% coverage minimum\n',1476491738,1,3,4,1
csc216-002-P1-001,b'Added 80 percent coverage minimum\n',1476491722,1,0,61,1
csc216-002-P1-001,b'Added coverage for Actor package\n',1476482918,6,11,353,6
csc216-002-P1-001,b'Fixed lingering PMD and Checkstyle errors\n',1476465048,7,18,20,7
csc216-002-P1-001,b'Fixed Config file reading/ ran formatting/ added some PredatorPrey Tests\n',1476464100,5,62,79,5
csc216-002-P1-001,b'Added some bug fixes / formatted / added test files\n',1476431470,6,71,84,6
csc216-002-P1-001,b'Implemented the first successfully compiling build of Simulator\n',1476427881,3,101,268,3
csc216-002-P1-001,b'Minor Stylistic changes to Simulatorpackage\n',1476401278,2,8,9,2
csc216-002-P1-001,b'Finished Implementing the actor and utils packages\n',1476396529,7,191,194,7
csc216-002-P1-001,b'Implemented Animal Configs and part of Pure Predator\n',1476244664,4,60,171,4
csc216-002-P1-001,b'Ran Eclipse Formatting/ Fixed Java doc\n',1475889784,2,5,13,2
csc216-002-P1-001,b'Finished javadoc for simulator package\n',1475889397,2,1,28,2
